
	Материал		   Толщина 	   	   Толщина 	   	   Диэлектрическая	   Размер линии 
				   подложки	  	   металлизации	   	   проницаемость	   CPW (s+2w)

	RO4003C			203.0			18.0			3.38				459.6
	RO4003C			305.0			18.0			3.38			532.1
	RO4003C			508.0			18.0			3.38			616.8
	RO4003C			813.0			18.0			3.38			675.8
	RO4003C			1560.0			18.0			3.38			719.9
	RO4003C			508.0			35.0			3.38			733.2
	RO4003C			813.0			35.0			3.38			808.0

	RO4350B/RO4450F		101.0			18.0			3.48(3.52)			343.8 (!!!)

	RO4350B			254.0			18.0			3.48				490.5
	RO4350B			338.0			18.0			3.48			539.0
	RO4350B			508.0			18.0			3.48			602.2
	RO4350B			762.0			18.0			3.48			651.1
	RO4350B			1524.0			18.0			3.48			696.9
	RO4350B			508.0			35.0			3.48			718.5
	RO4350B			762.0			35.0			3.48			780.7

	Arlon AD1000		508.0			18.0			10.0				332.0
	Arlon AD1000		635.0			18.0			10.2			333.2
	Arlon AD1000		1270.0			18.0			10.6			337.7

	Arlon TC600		508.0			18.0			6.15			379.4

	Arlon AD250		508.0			18.0			2.5			783.3

	Arlon AD255C		1016.0			18.0			2.55			915.3
	Arlon AD255C		1524.0			18.0			2.55			965.9
	Arlon AD255C		2032.0			18.0			2.55			988.0
	Arlon AD255C		1016.0			35.0			2.55			1059.6
	Arlon AD255C		1524.0			35.0			2.55			1123.4
	Arlon AD255C		2032.0			35.0			2.55			1152.2

	RO3003			254.0			35.0			3.0			632.0
	RO3003			508.0			35.0			3.0			796.1
	RO3003			762.0			35.0			3.0			878.8

Расчеты сделаны для открытых линий. Высота верхней металлизайции 1мм.
